PERIOD_DATE,PRODUNIT_ID,QTY
1/26/2021 0:00,ID19,"2,422"
1/26/2021 0:00,ID10,411
1/26/2021 0:00,ID9,187
1/26/2021 0:00,ID11,95
1/26/2021 0:00,ID8,234
1/26/2021 0:00,ID4,854
1/26/2021 0:00,ID3,-
1/26/2021 0:00,ID21,947
1/26/2021 0:00,ID18,118
1/27/2021 0:00,ID7,32
1/27/2021 0:00,ID6,"3,319"
1/27/2021 0:00,ID11,98
1/27/2021 0:00,ID8,479
1/27/2021 0:00,ID10,203
1/27/2021 0:00,ID9,256
1/27/2021 0:00,ID4,995
1/27/2021 0:00,ID3,221
1/27/2021 0:00,ID21,"1,056"
1/27/2021 0:00,ID20,"8,897"
1/27/2021 0:00,ID16,"1,658"
1/27/2021 0:00,ID18,207
1/27/2021 0:00,ID1,392
1/27/2021 0:00,ID17,528
1/27/2021 0:00,ID2,74
1/27/2021 0:00,ID12,"1,362"
1/27/2021 0:00,ID5,"2,753"
1/27/2021 0:00,ID13,"1,295"
1/27/2021 0:00,ID14,"1,221"
1/27/2021 0:00,ID15,74
1/27/2021 0:00,ID19,"2,296"
1/28/2021 0:00,ID5,"1,992"
1/28/2021 0:00,ID12,546
1/28/2021 0:00,ID14,"1,139"
1/28/2021 0:00,ID15,97
1/28/2021 0:00,ID6,"3,292"
1/28/2021 0:00,ID7,55
1/28/2021 0:00,ID19,"2,475"
1/28/2021 0:00,ID8,666
1/28/2021 0:00,ID10,351
1/28/2021 0:00,ID9,198
1/28/2021 0:00,ID11,113
1/28/2021 0:00,ID4,"1,056"
1/28/2021 0:00,ID3,139
1/28/2021 0:00,ID21,555
1/28/2021 0:00,ID20,"4,268"
1/28/2021 0:00,ID16,"1,661"
1/28/2021 0:00,ID18,125
1/28/2021 0:00,ID1,502
1/28/2021 0:00,ID17,643
1/28/2021 0:00,ID2,122
1/28/2021 0:00,ID13,"1,236"
1/29/2021 0:00,ID5,"1,961"
1/29/2021 0:00,ID12,381
1/29/2021 0:00,ID15,54
1/29/2021 0:00,ID14,894
1/29/2021 0:00,ID6,"2,444"
1/29/2021 0:00,ID7,35
1/29/2021 0:00,ID19,"2,086"
1/29/2021 0:00,ID8,353
1/29/2021 0:00,ID11,83
1/29/2021 0:00,ID10,275
1/29/2021 0:00,ID9,282
1/29/2021 0:00,ID4,842
1/29/2021 0:00,ID3,-
1/29/2021 0:00,ID21,619
1/29/2021 0:00,ID20,"4,847"
1/29/2021 0:00,ID16,"1,167"
1/29/2021 0:00,ID18,260
1/29/2021 0:00,ID1,452
1/29/2021 0:00,ID17,563
1/29/2021 0:00,ID2,143
1/29/2021 0:00,ID13,948
1/30/2021 0:00,ID5,20
1/30/2021 0:00,ID12,833
1/30/2021 0:00,ID14,37
1/30/2021 0:00,ID15,3
1/30/2021 0:00,ID6,113
1/30/2021 0:00,ID7,1
1/30/2021 0:00,ID19,80
1/30/2021 0:00,ID9,7
1/30/2021 0:00,ID11,17
1/30/2021 0:00,ID8,16
1/30/2021 0:00,ID10,1
1/30/2021 0:00,ID4,277
1/30/2021 0:00,ID3,-
1/30/2021 0:00,ID21,6
1/30/2021 0:00,ID20,54
1/30/2021 0:00,ID16,371
1/30/2021 0:00,ID18,32
1/30/2021 0:00,ID1,152
1/30/2021 0:00,ID17,258
1/30/2021 0:00,ID13,40
1/31/2021 0:00,ID5,47
1/31/2021 0:00,ID12,694
1/31/2021 0:00,ID15,21
1/31/2021 0:00,ID14,187
1/31/2021 0:00,ID6,791
1/31/2021 0:00,ID19,116
1/31/2021 0:00,ID10,55
1/31/2021 0:00,ID8,1
1/31/2021 0:00,ID11,44
1/31/2021 0:00,ID4,197
1/31/2021 0:00,ID3,-
1/31/2021 0:00,ID21,10
1/31/2021 0:00,ID20,69
1/31/2021 0:00,ID16,219
1/31/2021 0:00,ID18,198
1/31/2021 0:00,ID1,74
1/31/2021 0:00,ID17,104
1/31/2021 0:00,ID2,6
1/31/2021 0:00,ID13,208
2/1/2021 0:00,ID5,"2,439"
2/1/2021 0:00,ID12,"1,609"
2/1/2021 0:00,ID14,"1,144"
2/1/2021 0:00,ID15,106
2/1/2021 0:00,ID6,"3,363"
2/1/2021 0:00,ID7,33
2/1/2021 0:00,ID19,"2,117"
2/1/2021 0:00,ID10,113
2/1/2021 0:00,ID8,670
2/1/2021 0:00,ID9,257
2/1/2021 0:00,ID11,119
2/1/2021 0:00,ID4,932
2/1/2021 0:00,ID3,144
2/1/2021 0:00,ID21,"1,042"
2/1/2021 0:00,ID20,"8,358"
2/1/2021 0:00,ID16,"1,478"
